item_id,order_id,item_name,quantity,order_date,order_time,unit_price,Total_price,item_size,item_category,item_ingredients
26,71770,Apple Pie,2,2023-05-28,17:31:00,6.44,12.88,Medium,Burger,"Apple, Sugar, Pastry"
27,68231,French Fries,3,2023-02-28,17:00:00,6.62,19.86,Medium,Burger,"Potatoes, Salt"
28,24846,McChicken,1,2023-06-14,12:40:00,5.89,5.89,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
29,87219,Iced Coffee,3,2023-11-24,17:04:00,6.84,20.52,Medium,Burger,"Coffee, Ice, Sugar, Cream"
30,13870,Iced Coffee,1,2023-07-02,18:49:00,6.98,6.98,Large,Burger,"Coffee, Ice, Sugar, Cream"
31,36591,McFlurry,1,2023-05-03,14:07:00,6.05,6.05,Medium,Burger,"Ice Cream, Candy"
32,79825,French Fries,1,2023-12-11,21:27:00,6.38,6.38,Small,Burger,"Potatoes, Salt"
33,33076,McFlurry,5,2023-08-30,09:00:00,5.58,27.9,Small,Burger,"Ice Cream, Candy"
34,52709,Chicken Nuggets,4,2023-03-09,08:06:00,6.28,25.12,Large,Chicken,"Chicken, Breadcrumbs, Spices"
35,57890,Cheeseburger,5,2023-09-30,15:57:00,6.74,33.7,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
36,97680,McFlurry,1,2023-09-17,23:46:00,5.49,5.49,Medium,Burger,"Ice Cream, Candy"
37,33762,Chicken Nuggets,2,2023-11-15,16:19:00,5.54,11.08,Large,Chicken,"Chicken, Breadcrumbs, Spices"
38,90631,Quarter Pounder,4,2023-02-18,11:55:00,4.55,18.2,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
39,60685,McChicken,4,2023-10-20,13:41:00,6.23,24.92,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
40,2347,French Fries,2,2023-09-26,21:56:00,6.21,12.42,Small,Burger,"Potatoes, Salt"
41,58624,Coca Cola,4,2023-03-05,10:03:00,4.91,19.64,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
42,45400,Egg McMuffin,5,2023-09-18,13:52:00,4.96,24.8,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
43,48001,McFlurry,2,2023-05-15,17:34:00,5.08,10.16,Medium,Burger,"Ice Cream, Candy"
44,56141,Iced Coffee,1,2023-08-09,07:44:00,4.8,4.8,Medium,Burger,"Coffee, Ice, Sugar, Cream"
45,49923,Iced Coffee,3,2023-10-12,19:34:00,4.3,12.9,Medium,Burger,"Coffee, Ice, Sugar, Cream"
46,67648,Chicken Nuggets,1,2023-06-29,21:40:00,6.33,6.33,Small,Chicken,"Chicken, Breadcrumbs, Spices"
47,53154,Smoothie,2,2023-04-07,10:40:00,4.43,8.86,Small,Burger,"Fruit Puree, Yogurt, Ice"
48,6026,Cheeseburger,1,2023-03-23,11:39:00,6.26,6.26,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
49,16411,Smoothie,3,2023-11-17,16:49:00,6.16,18.48,Medium,Burger,"Fruit Puree, Yogurt, Ice"
50,77162,Apple Pie,4,2023-07-22,14:58:00,4.52,18.08,Medium,Burger,"Apple, Sugar, Pastry"
51,3704,McFlurry,1,2023-10-22,19:29:00,6.99,6.99,Medium,Burger,"Ice Cream, Candy"
52,20457,Egg McMuffin,3,2023-01-12,15:10:00,5.21,15.63,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
53,3041,Apple Pie,2,2023-07-04,10:13:00,5.56,11.12,Small,Burger,"Apple, Sugar, Pastry"
54,87767,Smoothie,2,2023-10-01,21:08:00,6.14,12.28,Medium,Burger,"Fruit Puree, Yogurt, Ice"
55,85554,Coca Cola,1,2023-03-13,13:35:00,5.87,5.87,Large,Burger,"Carbonated Water, Sugar, Flavorings"
56,61655,McFlurry,1,2023-07-03,12:40:00,4.7,4.7,Large,Burger,"Ice Cream, Candy"
57,88555,Big Mac,5,2023-06-18,08:49:00,5.33,26.65,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
58,94461,Egg McMuffin,3,2023-09-29,17:14:00,4.02,12.06,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
59,86603,McFlurry,3,2023-07-04,18:40:00,4.93,14.79,Small,Burger,"Ice Cream, Candy"
60,19108,Iced Coffee,5,2023-08-29,08:01:00,5.71,28.55,Small,Burger,"Coffee, Ice, Sugar, Cream"
61,72418,Chicken Nuggets,2,2023-11-22,11:11:00,6.18,12.36,Small,Chicken,"Chicken, Breadcrumbs, Spices"
62,5731,Cheeseburger,4,2023-02-20,15:26:00,6.34,25.36,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
63,23079,Coca Cola,2,2023-01-21,15:51:00,4.89,9.78,Large,Burger,"Carbonated Water, Sugar, Flavorings"
64,26640,French Fries,5,2023-02-21,17:19:00,4.15,20.75,Medium,Burger,"Potatoes, Salt"
65,14807,Iced Coffee,1,2023-03-09,22:35:00,6.82,6.82,Small,Burger,"Coffee, Ice, Sugar, Cream"
66,24208,Iced Coffee,5,2023-07-05,06:35:00,4.99,24.95,Large,Burger,"Coffee, Ice, Sugar, Cream"
67,64101,Sundae,5,2023-01-30,09:07:00,4.31,21.55,Small,Burger,"Ice Cream, Chocolate Syrup, Nuts"
68,50540,McFlurry,2,2023-01-21,16:57:00,6.41,12.82,Small,Burger,"Ice Cream, Candy"
69,73724,Cheeseburger,4,2023-08-24,20:12:00,5.23,20.92,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
70,55501,McChicken,4,2023-12-23,07:36:00,5.47,21.88,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
71,82082,Apple Pie,3,2023-04-10,08:58:00,5.83,17.49,Medium,Burger,"Apple, Sugar, Pastry"
72,91082,Coca Cola,2,2023-03-05,07:36:00,5.12,10.24,Large,Burger,"Carbonated Water, Sugar, Flavorings"
73,35141,Smoothie,1,2023-01-04,18:34:00,4.58,4.58,Large,Burger,"Fruit Puree, Yogurt, Ice"
74,91745,French Fries,1,2023-11-06,11:45:00,4.93,4.93,Medium,Burger,"Potatoes, Salt"
75,74443,Coca Cola,2,2023-12-06,18:19:00,4.41,8.82,Small,Burger,"Carbonated Water, Sugar, Flavorings"
76,83200,Iced Coffee,1,2023-08-29,08:06:00,4.85,4.85,Large,Burger,"Coffee, Ice, Sugar, Cream"
77,99407,Egg McMuffin,3,2023-06-23,23:10:00,5.48,16.44,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
78,95202,McFlurry,2,2023-10-13,07:22:00,5.54,11.08,Large,Burger,"Ice Cream, Candy"
79,52452,Coca Cola,2,2023-10-03,13:59:00,6.41,12.82,Large,Burger,"Carbonated Water, Sugar, Flavorings"
80,4357,Coca Cola,3,2023-07-14,16:31:00,4.72,14.16,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
81,19622,Chicken Nuggets,2,2023-12-18,14:19:00,5.95,11.9,Small,Chicken,"Chicken, Breadcrumbs, Spices"
82,51232,Sundae,2,2023-02-27,14:36:00,6.64,13.28,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
83,32313,Iced Coffee,4,2023-10-24,15:19:00,6.5,26.0,Medium,Burger,"Coffee, Ice, Sugar, Cream"
84,85914,McFlurry,5,2023-07-13,22:09:00,5.82,29.1,Large,Burger,"Ice Cream, Candy"
85,22576,Egg McMuffin,4,2023-09-17,15:51:00,4.96,19.84,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
86,8999,Quarter Pounder,2,2023-11-15,14:52:00,4.34,8.68,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
87,6496,Chicken Nuggets,3,2023-09-21,19:17:00,5.17,15.51,Large,Chicken,"Chicken, Breadcrumbs, Spices"
88,18547,Coca Cola,1,2023-05-29,23:50:00,6.26,6.26,Small,Burger,"Carbonated Water, Sugar, Flavorings"
89,67041,Apple Pie,2,2023-04-20,08:48:00,5.51,11.02,Medium,Burger,"Apple, Sugar, Pastry"
90,64109,Quarter Pounder,1,2023-05-20,23:21:00,6.41,6.41,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
91,95400,McFlurry,1,2023-09-27,08:49:00,4.36,4.36,Medium,Burger,"Ice Cream, Candy"
92,69611,Cheeseburger,1,2023-08-10,09:16:00,5.8,5.8,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
93,58564,Iced Coffee,5,2023-12-03,08:38:00,4.86,24.3,Medium,Burger,"Coffee, Ice, Sugar, Cream"
94,61624,Quarter Pounder,4,2023-03-05,23:21:00,6.81,27.24,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
95,93221,Sundae,5,2023-11-04,10:19:00,4.07,20.35,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
96,26970,Egg McMuffin,2,2023-03-09,12:11:00,4.43,8.86,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
97,65717,McChicken,5,2023-04-13,23:15:00,5.29,26.45,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
98,29182,Quarter Pounder,3,2023-10-24,10:55:00,5.9,17.7,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
99,48540,Big Mac,5,2023-07-25,06:53:00,4.41,22.05,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
100,84875,Big Mac,2,2023-05-05,20:57:00,5.75,11.5,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
101,97175,Smoothie,5,2023-10-16,22:18:00,5.54,27.7,Small,Burger,"Fruit Puree, Yogurt, Ice"
102,35098,McFlurry,5,2023-09-17,10:19:00,4.42,22.1,Large,Burger,"Ice Cream, Candy"
103,1263,Sundae,5,2023-08-25,13:30:00,4.28,21.4,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
104,45313,Egg McMuffin,2,2023-08-14,11:48:00,6.64,13.28,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
105,48533,French Fries,1,2023-09-16,19:58:00,4.24,4.24,Medium,Burger,"Potatoes, Salt"
106,98973,Quarter Pounder,1,2023-06-15,11:16:00,5.72,5.72,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
107,60938,Smoothie,3,2023-05-28,14:18:00,4.84,14.52,Large,Burger,"Fruit Puree, Yogurt, Ice"
108,55920,Filet-O-Fish,1,2023-07-01,21:32:00,5.57,5.57,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
109,79566,Cheeseburger,1,2023-06-28,23:44:00,5.73,5.73,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
110,43776,Cheeseburger,1,2023-09-24,20:05:00,5.21,5.21,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
111,32413,McChicken,2,2023-08-27,12:04:00,6.17,12.34,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
112,37697,Iced Coffee,5,2023-11-11,15:32:00,6.25,31.25,Large,Burger,"Coffee, Ice, Sugar, Cream"
113,39667,Iced Coffee,5,2023-04-20,23:22:00,6.39,31.95,Medium,Burger,"Coffee, Ice, Sugar, Cream"
114,36539,Filet-O-Fish,1,2023-08-24,15:24:00,6.01,6.01,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
115,49458,Sundae,1,2023-05-17,21:50:00,4.55,4.55,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
116,77505,Quarter Pounder,3,2023-02-07,10:47:00,4.55,13.65,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
117,84462,Smoothie,4,2023-05-13,16:46:00,5.0,20.0,Large,Burger,"Fruit Puree, Yogurt, Ice"
118,43085,Cheeseburger,5,2023-06-02,17:36:00,5.89,29.45,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
119,42227,Iced Coffee,2,2023-08-06,06:49:00,4.2,8.4,Large,Burger,"Coffee, Ice, Sugar, Cream"
120,38605,Quarter Pounder,5,2023-04-16,13:31:00,5.55,27.75,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
121,80853,Egg McMuffin,1,2023-09-03,19:21:00,6.2,6.2,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
122,17273,Iced Coffee,2,2023-09-30,10:58:00,5.21,10.42,Medium,Burger,"Coffee, Ice, Sugar, Cream"
123,20234,Egg McMuffin,1,2023-11-28,16:43:00,4.51,4.51,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
124,39175,Egg McMuffin,5,2023-01-30,13:55:00,6.95,34.75,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
125,20702,McFlurry,1,2023-10-02,12:33:00,5.41,5.41,Medium,Burger,"Ice Cream, Candy"
126,68397,Chicken Nuggets,1,2023-07-20,07:47:00,5.16,5.16,Large,Chicken,"Chicken, Breadcrumbs, Spices"
127,16354,Coca Cola,2,2023-08-29,11:41:00,6.46,12.92,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
128,26514,Quarter Pounder,3,2023-12-09,17:46:00,6.66,19.98,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
129,45842,Apple Pie,4,2023-10-08,14:38:00,5.48,21.92,Medium,Burger,"Apple, Sugar, Pastry"
130,82463,Sprite,1,2023-02-21,16:49:00,6.54,6.54,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
131,90986,Cheeseburger,1,2023-10-29,12:13:00,5.58,5.58,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
132,27626,Sundae,2,2023-07-18,12:37:00,6.9,13.8,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
133,91798,Smoothie,1,2023-05-02,18:05:00,6.15,6.15,Small,Burger,"Fruit Puree, Yogurt, Ice"
134,64266,Coca Cola,1,2023-04-27,23:27:00,4.37,4.37,Small,Burger,"Carbonated Water, Sugar, Flavorings"
135,30093,Sundae,5,2023-04-09,06:39:00,5.86,29.3,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
136,41725,Big Mac,5,2023-10-19,20:56:00,6.0,30.0,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
137,70131,Sprite,4,2023-03-15,23:49:00,6.42,25.68,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
138,12546,Smoothie,2,2023-07-06,11:55:00,6.34,12.68,Medium,Burger,"Fruit Puree, Yogurt, Ice"
139,90501,French Fries,1,2023-12-04,08:10:00,4.93,4.93,Small,Burger,"Potatoes, Salt"
140,86882,Coca Cola,4,2023-02-24,15:02:00,5.71,22.84,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
141,26970,French Fries,4,2023-10-02,14:14:00,4.39,17.56,Medium,Burger,"Potatoes, Salt"
142,34402,Egg McMuffin,5,2023-10-06,19:21:00,4.87,24.35,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
143,32875,McChicken,1,2023-03-26,22:32:00,5.04,5.04,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
144,23358,Cheeseburger,3,2023-07-15,09:24:00,5.36,16.08,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
145,15182,Sprite,1,2023-03-28,13:00:00,5.81,5.81,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
146,83059,Sundae,5,2023-12-24,12:54:00,6.8,34.0,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
147,32945,Chicken Nuggets,5,2023-10-19,12:55:00,6.36,31.8,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
148,39782,Coca Cola,4,2023-08-08,17:53:00,5.17,20.68,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
149,90338,Sundae,5,2023-05-06,07:25:00,5.99,29.95,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
150,29194,Smoothie,2,2023-03-31,11:12:00,5.21,10.42,Large,Burger,"Fruit Puree, Yogurt, Ice"
151,78343,Quarter Pounder,3,2023-11-04,22:23:00,6.06,18.18,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
152,60014,McChicken,1,2023-06-09,16:31:00,5.05,5.05,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
153,12477,Quarter Pounder,3,2023-07-05,15:32:00,6.9,20.7,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
154,52426,Chicken Nuggets,3,2023-03-05,08:14:00,5.56,16.68,Small,Chicken,"Chicken, Breadcrumbs, Spices"
155,74175,Cheeseburger,4,2023-10-24,12:41:00,5.19,20.76,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
156,75162,Big Mac,2,2023-12-18,08:33:00,4.75,9.5,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
157,68667,Iced Coffee,2,2023-10-01,17:47:00,6.18,12.36,Small,Burger,"Coffee, Ice, Sugar, Cream"
158,56394,Big Mac,2,2023-10-25,13:10:00,5.59,11.18,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
159,73891,Sprite,4,2023-01-17,14:35:00,6.65,26.6,Small,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
160,77656,Quarter Pounder,2,2023-06-15,22:51:00,4.69,9.38,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
161,14164,Filet-O-Fish,3,2023-11-24,10:04:00,5.95,17.85,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
162,77388,Apple Pie,2,2023-05-20,19:17:00,4.44,8.88,Large,Burger,"Apple, Sugar, Pastry"
163,25708,Smoothie,3,2023-04-23,16:37:00,5.56,16.68,Large,Burger,"Fruit Puree, Yogurt, Ice"
164,35499,Filet-O-Fish,1,2023-08-21,23:21:00,6.23,6.23,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
165,98863,Cheeseburger,2,2023-10-26,06:04:00,5.76,11.52,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
166,58960,Big Mac,3,2023-07-21,08:46:00,6.31,18.93,Small,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
167,46517,Egg McMuffin,1,2023-12-21,12:15:00,5.56,5.56,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
168,19973,Sprite,3,2023-02-17,15:47:00,6.58,19.74,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
169,42806,Apple Pie,2,2023-11-28,19:03:00,6.24,12.48,Medium,Burger,"Apple, Sugar, Pastry"
170,44377,Cheeseburger,5,2023-06-14,16:04:00,4.91,24.55,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
171,16775,French Fries,3,2023-10-16,17:38:00,5.47,16.41,Large,Burger,"Potatoes, Salt"
172,33268,Iced Coffee,2,2023-07-19,12:51:00,4.32,8.64,Medium,Burger,"Coffee, Ice, Sugar, Cream"
173,74869,McChicken,4,2023-04-29,08:09:00,5.12,20.48,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
174,93762,Apple Pie,1,2023-01-22,22:00:00,6.67,6.67,Medium,Burger,"Apple, Sugar, Pastry"
175,93690,Egg McMuffin,2,2023-08-10,21:17:00,4.45,8.9,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
176,28511,Cheeseburger,2,2023-04-15,13:53:00,4.92,9.84,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
177,3374,McChicken,2,2023-09-25,20:52:00,6.43,12.86,Small,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
178,22356,Apple Pie,5,2023-09-26,11:34:00,5.39,26.95,Small,Burger,"Apple, Sugar, Pastry"
179,4661,McChicken,5,2023-09-24,07:29:00,5.6,28.0,Large,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
180,98152,Filet-O-Fish,3,2023-04-06,09:11:00,6.93,20.79,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
181,94307,Sprite,3,2023-05-03,08:00:00,6.47,19.41,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
182,92999,Filet-O-Fish,3,2023-08-17,10:33:00,7.56,22.68,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
183,63609,McChicken,4,2023-06-20,06:31:00,5.68,22.72,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
184,88064,Sundae,2,2023-02-01,18:28:00,4.6,9.2,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
185,16055,French Fries,3,2023-01-16,10:49:00,6.26,18.78,Large,Burger,"Potatoes, Salt"
186,39415,Egg McMuffin,3,2023-09-16,13:37:00,6.98,20.94,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
187,28865,Sundae,3,2023-07-30,20:02:00,5.36,16.08,Medium,Burger,"Ice Cream, Chocolate Syrup, Nuts"
188,28797,Filet-O-Fish,3,2023-08-15,15:19:00,7.81,23.43,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
189,2054,Coca Cola,2,2023-09-20,16:44:00,4.48,8.96,Large,Burger,"Carbonated Water, Sugar, Flavorings"
190,8097,Cheeseburger,4,2023-03-06,11:14:00,5.88,23.52,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
191,51818,Apple Pie,3,2023-03-17,09:07:00,5.68,17.04,Large,Burger,"Apple, Sugar, Pastry"
192,3611,Apple Pie,1,2023-08-27,21:57:00,5.68,5.68,Small,Burger,"Apple, Sugar, Pastry"
193,33946,Filet-O-Fish,5,2023-08-08,20:34:00,7.63,38.15,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
194,36130,Filet-O-Fish,2,2023-03-05,19:21:00,6.7,13.4,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
195,45763,Egg McMuffin,5,2023-07-16,09:34:00,4.81,24.05,Small,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
196,27904,Iced Coffee,4,2023-02-23,20:03:00,4.92,19.68,Medium,Burger,"Coffee, Ice, Sugar, Cream"
197,25518,McFlurry,4,2023-10-02,14:21:00,4.7,18.8,Medium,Burger,"Ice Cream, Candy"
198,98560,Big Mac,5,2023-05-21,14:15:00,5.37,26.85,Large,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
199,5091,Smoothie,5,2023-11-11,12:14:00,6.47,32.35,Medium,Burger,"Fruit Puree, Yogurt, Ice"
200,33853,Quarter Pounder,1,2023-05-17,20:12:00,4.89,4.89,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
201,73972,Big Mac,2,2023-02-25,17:44:00,4.67,9.34,Large,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
202,20001,Coca Cola,1,2023-12-15,21:55:00,6.54,6.54,Small,Burger,"Carbonated Water, Sugar, Flavorings"
203,11301,Sundae,2,2023-03-20,21:16:00,6.67,13.34,Small,Burger,"Ice Cream, Chocolate Syrup, Nuts"
204,92569,Filet-O-Fish,3,2023-08-11,10:15:00,6.95,20.85,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
205,85603,Iced Coffee,4,2023-03-12,14:34:00,4.63,18.52,Small,Burger,"Coffee, Ice, Sugar, Cream"
206,96036,Filet-O-Fish,5,2023-09-24,14:55:00,7.05,35.25,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
207,51209,Cheeseburger,3,2023-07-12,19:19:00,5.84,17.52,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
208,24726,Filet-O-Fish,1,2023-07-24,12:34:00,6.73,6.73,Small,Fish,"Fish Patty, Tartar Sauce, Cheese"
209,46806,Coca Cola,3,2023-10-21,16:34:00,4.18,12.54,Small,Burger,"Carbonated Water, Sugar, Flavorings"
210,62046,Sprite,5,2023-12-26,12:41:00,4.86,24.3,Large,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
211,90052,Big Mac,4,2023-02-17,20:00:00,5.46,21.84,Large,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
212,12228,Filet-O-Fish,3,2023-04-18,15:24:00,6.65,19.95,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
213,50588,Quarter Pounder,2,2023-07-17,22:06:00,5.86,11.72,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
